,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01
amazonas,23.452974708631025,13.73986911163281,13.576926514972659,16.47885738082839,0.0,0.0,0.0,0.0,10.380139337156933,8.384305401159052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4843431565374452,8.855165618723895,11.80794887008068,7.6819405730814765,26.455857697628268,0.0,0.0,0.0,0.0,0.0,5.321853279336137,36.920528842164366,23.24563234385662,25.792045916471302,37.77290378930323,22.91901959595834,36.551221680133544,20.2306260571659
antioquia,1107.2173648816538,807.1017952722285,896.0407708847529,1038.286290080368,1534.4700835877848,2318.7273128143793,2070.464841274993,2693.2545776118704,2268.7413570952012,2039.1314245277265,1696.1429922854788,1573.09837941069,2231.794480768128,2106.550150258775,3166.6915421997137,3733.2110997953796,3942.6686622515963,4127.122871939156,3623.9885678573037,2492.3434929608684,1790.8839319132364,1149.9905035421662,87.55024398798548,0.0,0.0,0.0,0.0,0.0,37.566366294298234,386.35782399770375,297.1395711791168,217.4569455203884,860.8848261839491,950.6001887087485,799.4830134351539,682.9940669395303
arauca,179.64822264257293,163.5808053912412,150.96775924911333,230.95809385698666,345.9398595838975,402.06208357555806,317.4955426928218,261.9573914090404,133.17160103455944,111.09763912546907,0.0,94.39356380212897,139.35926661702902,181.92103347921034,311.73149832917545,343.6766245889778,317.9727725333222,217.46822324983953,81.05770308017037,5.506504493695104,0.0,0.0,0.0,0.0,0.0,27.617944511173647,37.06776288013799,46.545921389709775,143.61572214371517,121.4799223358197,87.61220033995707,59.40147018276704,74.93141194393874,33.83411205053386,19.186720861473816,14.112452657809314
atlantico,1120.9623517474668,1232.968595202084,881.0389296382817,825.9367031003319,673.7479484059523,340.2369189890035,275.5609022787519,29.37590732390629,225.57570238374097,344.2820325523078,809.5454091984117,986.5674464560918,1161.7827455262413,1129.7925693573825,1081.2825982958705,1054.8840290492808,1148.6501775873369,1017.6686368260323,753.5218015481735,705.803253038177,643.1545985778905,493.6863750601987,204.88401690395295,321.11457217593863,292.4967717164468,279.43790062001983,221.48282986899397,354.1529548571881,395.2356309969547,238.9021808600439,335.2920632487903,318.5190543960708,337.69410289530293,399.87584485999196,541.0415596502507,994.1258471573963
bolivar,377.5652358637074,473.1760547515155,345.45511599690747,312.5722142335047,335.9281708833408,287.27157966054796,172.72109007275043,91.20738766821037,45.148932852001465,69.26448885747683,51.9020369006477,97.06521785591843,151.33962597538616,206.33139637271682,203.682142457474,214.55257095367594,324.07058253597506,319.09610956042377,271.27365871277516,312.4541156428535,388.7317714747766,396.2074779206903,344.2363371440096,313.7661201256437,280.6636990731501,270.9952486794599,273.50155497506546,302.5428049521489,324.2617647240298,273.3741419484355,222.52457551331736,255.60464503036928,244.86355052248234,339.3823469565406,398.77719067939057,521.809999067664
boyaca,78.69372447254855,92.4724159865923,92.1970928165915,121.9776658285875,136.82639134700594,118.92069721801913,83.60483401860361,76.73300634597369,52.923935993002594,61.67046975373292,29.261306971846395,65.85697876244683,113.03999301645167,179.5677129903404,222.73146804689014,238.68461291215823,222.7095739950214,208.72082973447533,182.42112689421305,132.61648863851963,114.64147149334825,99.42520155719649,111.40898510895589,54.995133931466256,44.826022401864215,3.874638085803312,0.0,0.0,0.0,47.27232372316749,48.371160777642615,39.93090910919217,51.375630126336425,49.48756843567973,59.15715332268087,76.4241341071708
caldas,151.4948220045014,134.6287033966136,73.35232145844915,92.79515641076868,164.1183717209059,162.16505829618166,170.106729766739,117.5007624144231,122.44774397244616,155.08014327246906,84.75555525010539,99.36275042441657,163.5486662932051,219.1699523939125,211.82937059297294,213.52959703567652,176.27729991781104,223.83795686503257,137.87715199318836,120.87918104525724,92.20162271366766,55.5072377859283,26.611986088556048,30.06811932536777,40.079207748812046,47.59369527113836,60.313622207294394,51.37755190241546,10.202475107863862,40.417064390521986,53.1535493212154,46.337145148282,35.08780883169038,62.417134098619925,94.99371255936046,42.185414092429255
caqueta,159.8364246048339,149.13092903703998,113.45895986383113,91.97382248618139,97.1045129055402,121.81574852003155,16.679913878379992,0.0,17.98271547339906,0.0,0.0,23.071594295553222,75.06984867793992,144.89759382267167,102.1333916086312,95.55765227134964,65.32840799677027,85.07024968899032,32.61543454126172,10.327045935186618,12.20276147961848,24.65772452608126,40.036377231899756,4.272058623323211,34.185603394375605,72.572989369076,31.574999987391593,35.47876202849245,33.42380664993341,92.21540278084748,35.76588246017889,18.856738259201023,73.29533888585146,72.89915426815014,76.69993237544698,115.87777961317545
cauca,78.78986005434312,71.91134934704209,7.020397812366149,88.18592077217403,147.01724233264167,199.28481067857984,152.28711486010639,106.14193680667066,90.79749818989612,108.46407232129968,22.483171655192795,52.92666241813403,112.96431641957976,125.48042443276113,60.55805680542474,99.76686428350513,64.8873635104402,150.32667616601975,73.66067557417536,29.167009329890774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.354160543897194,0.46169263841903785,30.79784307978185,11.039445189940707,0.0,3.879664480546552,15.786705517234864,24.64111857040129,14.68079895477235
cesar,463.42217149252906,496.31714672200815,471.53365052434356,524.8042094706717,658.4014144387106,841.7444620796975,759.0868218848574,894.1282864902556,772.0628394074268,755.5102642648361,670.0501393595573,685.1267923333064,646.9783316259229,597.3281878710255,662.667389378199,661.9304877077449,613.9894055590611,695.6385907417052,687.615501548923,712.9550815296403,631.9186837874538,614.2179322753536,561.2963905133139,568.6678821197178,589.0925218466634,608.2141788672494,591.6955328966075,642.1826548765962,652.4781234191746,564.2761280831322,496.13323157544164,584.707898089518,602.6975520557708,498.65337598525923,646.6081054482225,751.8901863809652
choco,27.97261668253804,11.179035803633782,7.102346617490815,22.200414776797317,27.345874197141125,11.441429291868953,20.866080432223022,18.918248079938834,11.660501912519296,12.732468667607014,0.0,0.0,0.0,17.94187930817953,50.694274334681964,59.316134194520515,58.84971701998771,23.945416501037887,28.403871005061085,32.35258724583133,36.32309546075863,36.99088970517472,35.90334552816111,55.225065391161344,50.86201775749603,49.94941719131649,53.152701907838015,32.33582929922393,38.068567901710786,37.63198147278466,32.85705338749558,27.28708760426381,13.432919468144117,13.11834242768822,12.466844628063875,5.43165631790691
cordoba,121.34629712295538,187.29562672826455,109.1810407040048,115.90247230402495,144.66331981087032,201.7980012247914,204.24056780598198,238.56344451458017,312.94013734867184,351.99306747499185,358.48613081042026,220.75041867919288,234.31086379451278,82.44878766835679,0.0,0.0,60.514509706506935,146.4560228264683,13.624866355173324,45.17070722155621,61.334888437494286,3.5708574837970843,0.0,35.645734548906844,75.90066652957863,148.56849908025833,114.6901755404667,219.5135801751202,243.07120113584375,199.61416066087725,144.36935327053234,240.45866628286043,187.76005462548747,215.51442054259303,189.3006916404243,182.8398023332988
cundinamarca,582.0402054725764,551.200043319463,394.46480718147285,488.7876417521071,592.217545195551,731.0898793029264,566.0907615468695,442.41949569379665,353.9005484726191,414.73359614358435,143.94244537714818,295.5154240128593,506.45520182737175,948.4608780000513,926.5082765091765,998.7894122540256,841.181367779808,914.4944589337856,692.726667529425,502.1256286019802,488.619196923185,484.1572246986325,488.14578016390317,319.3909647835896,344.4538739944134,327.5571279396362,279.68722996553254,167.04383581225204,125.9978503935319,271.4211426805073,172.91752104710503,152.4592749817054,146.12485609324335,204.035203840808,298.62697603118113,219.403871714083
