,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01
amazonas,53,43,28,2,4,4,2,2,1,4,12,7,21,19,6,18,8,11,2,5,4,11,5,5,10,5,2,2,7,6,9,3,3,4,8,3
antioquia,791,316,340,216,223,505,406,630,738,804,964,915,2141,2044,1855,2520,3904,3415,3062,3562,2011,1710,965,564,769,320,293,317,421,339,476,267,291,287,198,136
arauca,51,45,63,49,79,58,48,97,44,52,79,71,130,73,19,25,28,9,1,3,3,15,3,5,37,15,21,20,30,27,46,45,25,20,12,3
atlantico,351,163,136,89,89,154,187,336,416,631,1266,596,477,163,83,75,126,82,65,57,62,92,77,54,36,16,17,42,61,41,70,94,128,232,218,242
bolivar,184,114,65,56,74,172,131,414,507,523,642,255,275,137,88,82,148,89,121,69,53,75,53,32,76,24,20,36,40,51,59,41,39,45,34,19
boyaca,43,58,64,63,117,91,74,61,87,95,125,57,210,263,297,291,287,130,99,101,111,130,83,93,71,32,29,8,12,13,15,5,7,5,0,2
caldas,92,80,95,176,74,90,116,165,83,86,51,54,140,103,109,89,106,87,41,44,21,21,17,5,11,19,10,9,10,5,13,7,5,10,3,2
caqueta,84,63,74,71,61,40,35,45,38,75,168,93,298,252,90,80,43,34,33,29,8,10,12,14,11,28,26,23,19,20,14,21,16,39,31,17
cauca,80,72,58,50,48,36,34,36,38,41,76,71,161,135,100,121,127,69,50,29,18,18,16,3,19,7,5,5,14,13,10,7,3,6,3,9
cesar,290,221,281,177,175,370,319,398,358,557,855,485,376,101,58,38,82,64,79,58,65,90,73,60,62,21,33,32,57,58,98,50,66,56,39,37
choco,27,21,37,44,26,31,15,24,27,22,29,23,40,24,36,63,90,32,32,27,19,6,10,5,9,11,7,7,11,8,6,7,5,5,0,4
cordoba,161,91,62,53,79,143,84,167,186,231,293,182,278,109,56,47,45,47,33,48,27,35,37,21,76,29,22,21,69,54,78,51,44,52,53,37
cundinamarca,609,389,308,197,203,199,152,182,218,230,348,255,870,848,680,633,525,261,155,109,56,113,68,77,154,78,56,67,105,65,91,83,141,141,88,75
guainia,1,4,13,8,20,4,8,2,1,3,8,5,57,58,44,17,8,3,4,5,4,1,2,1,1,2,1,0,2,1,2,0,0,0,0,0
guajira,95,42,51,29,45,54,34,52,80,99,174,86,77,20,4,6,6,12,16,13,16,35,19,9,7,12,18,8,24,19,9,10,11,5,14,26
guaviare,23,21,28,21,45,17,15,23,12,9,14,7,38,48,29,62,54,13,17,15,4,0,12,6,13,10,3,13,15,15,9,3,7,11,9,12
huila,605,362,366,268,324,369,282,359,396,412,760,559,941,654,323,215,250,213,162,198,170,297,334,241,248,94,100,103,121,71,133,79,74,89,71,52
magdalena,58,46,63,35,46,146,51,89,149,238,386,221,195,50,19,19,43,28,35,56,39,43,19,15,47,21,12,6,8,7,10,7,3,5,13,12
meta,797,1055,1268,788,570,451,220,257,187,195,240,129,378,412,337,302,373,209,134,131,84,94,75,66,155,79,98,102,155,96,167,106,85,98,60,66
narino,277,351,343,303,217,181,94,105,132,123,145,76,275,256,151,166,178,89,64,63,55,83,37,47,62,40,37,43,62,61,82,40,33,28,35,16
norte de santander,305,177,242,253,318,356,290,381,313,388,706,525,555,248,208,240,268,158,161,172,127,208,222,121,142,88,94,85,105,69,78,109,89,106,103,121
putumayo,138,138,121,124,88,93,56,49,49,63,114,93,288,269,189,186,131,54,60,49,65,41,56,24,58,29,31,29,30,20,31,23,22,23,25,28
quindio,352,256,385,450,509,509,299,280,220,185,173,97,287,452,403,352,340,181,132,135,82,78,62,58,119,47,52,48,49,31,48,38,42,54,28,27
risaralda,54,39,88,93,173,165,95,160,135,124,165,96,327,489,399,439,513,245,202,122,69,77,34,25,37,24,14,7,13,8,12,16,12,17,9,8
san andres y providencia,8,1,1,1,0,3,1,3,13,66,47,10,18,7,6,2,3,6,5,8,6,3,3,1,3,1,0,1,2,0,3,3,4,1,2,3
santander,912,674,1026,856,818,818,590,602,484,455,593,413,905,1087,882,884,929,472,428,432,242,276,263,138,269,124,104,139,204,146,223,204,142,122,103,73
sucre,184,139,143,100,167,281,261,380,372,408,376,118,155,74,53,62,113,76,72,87,41,81,69,25,61,29,28,33,47,49,57,17,30,27,27,15
tolima,1581,965,990,585,466,536,430,623,682,831,1250,712,1298,851,540,375,611,413,273,297,234,381,337,280,553,239,198,212,349,266,234,204,200,207,203,153
valle del cauca,2150,2197,2820,2230,1948,1785,1217,1205,912,839,1436,1237,4025,5217,2838,2773,3946,2183,1229,1077,673,801,657,544,1267,512,436,407,484,291,301,225,217,281,290,170
vaupes,0,0,1,0,0,1,0,0,0,0,0,0,3,2,1,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
vichada,5,3,3,13,12,25,13,10,9,9,14,8,11,13,11,24,44,16,6,14,7,17,12,5,7,4,4,1,2,2,4,1,1,0,5,1
