month,city_ascii,year,total_cases,confirmed_cases,city_ascii,lat,lng,admin_ascii,population,population_proper
7,abejorral,2008,1,0,abejorral,5.7906,-75.4269,antioquia,,
6,abejorral,2010,11,4,abejorral,5.7906,-75.4269,antioquia,,
10,abejorral,2010,6,1,abejorral,5.7906,-75.4269,antioquia,,
12,abejorral,2010,12,3,abejorral,5.7906,-75.4269,antioquia,,
7,abejorral,2010,12,5,abejorral,5.7906,-75.4269,antioquia,,
5,abejorral,2010,9,0,abejorral,5.7906,-75.4269,antioquia,,
11,abejorral,2010,2,0,abejorral,5.7906,-75.4269,antioquia,,
4,abejorral,2010,5,2,abejorral,5.7906,-75.4269,antioquia,,
2,abejorral,2010,3,1,abejorral,5.7906,-75.4269,antioquia,,
8,abejorral,2010,10,2,abejorral,5.7906,-75.4269,antioquia,,
9,abejorral,2010,5,3,abejorral,5.7906,-75.4269,antioquia,,
1,abejorral,2010,2,1,abejorral,5.7906,-75.4269,antioquia,,
3,abejorral,2010,2,1,abejorral,5.7906,-75.4269,antioquia,,
12,abejorral,2011,1,0,abejorral,5.7906,-75.4269,antioquia,,
9,abejorral,2015,1,1,abejorral,5.7906,-75.4269,antioquia,,
10,abejorral,2015,1,0,abejorral,5.7906,-75.4269,antioquia,,
8,abejorral,2016,2,2,abejorral,5.7906,-75.4269,antioquia,,
2,abejorral,2016,1,1,abejorral,5.7906,-75.4269,antioquia,,
6,abejorral,2016,1,1,abejorral,5.7906,-75.4269,antioquia,,
12,abejorral,2016,1,0,abejorral,5.7906,-75.4269,antioquia,,
2,abejorral,2017,1,0,abejorral,5.7906,-75.4269,antioquia,,
12,abrego,2007,3,0,abrego,8.0806,-73.2205,norte de santander,,
8,abrego,2007,17,10,abrego,8.0806,-73.2205,norte de santander,,
10,abrego,2007,13,8,abrego,8.0806,-73.2205,norte de santander,,
1,abrego,2007,1,0,abrego,8.0806,-73.2205,norte de santander,,
7,abrego,2007,18,10,abrego,8.0806,-73.2205,norte de santander,,
11,abrego,2007,8,1,abrego,8.0806,-73.2205,norte de santander,,
4,abrego,2007,6,4,abrego,8.0806,-73.2205,norte de santander,,
9,abrego,2007,6,4,abrego,8.0806,-73.2205,norte de santander,,
2,abrego,2007,3,1,abrego,8.0806,-73.2205,norte de santander,,
3,abrego,2007,14,5,abrego,8.0806,-73.2205,norte de santander,,
6,abrego,2007,1,1,abrego,8.0806,-73.2205,norte de santander,,
3,abrego,2008,2,1,abrego,8.0806,-73.2205,norte de santander,,
2,abrego,2008,1,0,abrego,8.0806,-73.2205,norte de santander,,
5,abrego,2008,3,0,abrego,8.0806,-73.2205,norte de santander,,
6,abrego,2008,1,0,abrego,8.0806,-73.2205,norte de santander,,
12,abrego,2008,3,1,abrego,8.0806,-73.2205,norte de santander,,
1,abrego,2008,2,0,abrego,8.0806,-73.2205,norte de santander,,
4,abrego,2008,1,0,abrego,8.0806,-73.2205,norte de santander,,
7,abrego,2008,1,0,abrego,8.0806,-73.2205,norte de santander,,
8,abrego,2008,1,0,abrego,8.0806,-73.2205,norte de santander,,
1,abrego,2009,1,0,abrego,8.0806,-73.2205,norte de santander,,
9,abrego,2009,2,0,abrego,8.0806,-73.2205,norte de santander,,
8,abrego,2009,6,2,abrego,8.0806,-73.2205,norte de santander,,
10,abrego,2009,4,0,abrego,8.0806,-73.2205,norte de santander,,
5,abrego,2009,3,0,abrego,8.0806,-73.2205,norte de santander,,
11,abrego,2009,7,2,abrego,8.0806,-73.2205,norte de santander,,
6,abrego,2009,2,0,abrego,8.0806,-73.2205,norte de santander,,
12,abrego,2009,4,1,abrego,8.0806,-73.2205,norte de santander,,
2,abrego,2009,1,0,abrego,8.0806,-73.2205,norte de santander,,
4,abrego,2009,1,0,abrego,8.0806,-73.2205,norte de santander,,
5,abrego,2010,22,5,abrego,8.0806,-73.2205,norte de santander,,
1,abrego,2010,4,1,abrego,8.0806,-73.2205,norte de santander,,
12,abrego,2010,1,0,abrego,8.0806,-73.2205,norte de santander,,
6,abrego,2010,4,0,abrego,8.0806,-73.2205,norte de santander,,
8,abrego,2010,2,0,abrego,8.0806,-73.2205,norte de santander,,
2,abrego,2010,4,0,abrego,8.0806,-73.2205,norte de santander,,
3,abrego,2010,6,3,abrego,8.0806,-73.2205,norte de santander,,
4,abrego,2010,4,0,abrego,8.0806,-73.2205,norte de santander,,
7,abrego,2010,1,0,abrego,8.0806,-73.2205,norte de santander,,
7,abrego,2011,2,0,abrego,8.0806,-73.2205,norte de santander,,
8,abrego,2011,2,0,abrego,8.0806,-73.2205,norte de santander,,
10,abrego,2011,1,0,abrego,8.0806,-73.2205,norte de santander,,
5,abrego,2011,1,1,abrego,8.0806,-73.2205,norte de santander,,
5,abrego,2012,2,0,abrego,8.0806,-73.2205,norte de santander,,
11,abrego,2012,4,0,abrego,8.0806,-73.2205,norte de santander,,
8,abrego,2012,1,0,abrego,8.0806,-73.2205,norte de santander,,
3,abrego,2012,1,1,abrego,8.0806,-73.2205,norte de santander,,
10,abrego,2012,2,0,abrego,8.0806,-73.2205,norte de santander,,
7,abrego,2012,2,1,abrego,8.0806,-73.2205,norte de santander,,
9,abrego,2012,3,0,abrego,8.0806,-73.2205,norte de santander,,
12,abrego,2012,1,1,abrego,8.0806,-73.2205,norte de santander,,
4,abrego,2012,3,1,abrego,8.0806,-73.2205,norte de santander,,
6,abrego,2012,2,0,abrego,8.0806,-73.2205,norte de santander,,
3,abrego,2013,6,5,abrego,8.0806,-73.2205,norte de santander,,
12,abrego,2013,6,5,abrego,8.0806,-73.2205,norte de santander,,
5,abrego,2013,6,1,abrego,8.0806,-73.2205,norte de santander,,
4,abrego,2013,8,3,abrego,8.0806,-73.2205,norte de santander,,
1,abrego,2013,5,3,abrego,8.0806,-73.2205,norte de santander,,
7,abrego,2013,9,6,abrego,8.0806,-73.2205,norte de santander,,
9,abrego,2013,8,3,abrego,8.0806,-73.2205,norte de santander,,
10,abrego,2013,7,5,abrego,8.0806,-73.2205,norte de santander,,
8,abrego,2013,6,5,abrego,8.0806,-73.2205,norte de santander,,
11,abrego,2013,6,2,abrego,8.0806,-73.2205,norte de santander,,
2,abrego,2013,5,4,abrego,8.0806,-73.2205,norte de santander,,
6,abrego,2013,4,1,abrego,8.0806,-73.2205,norte de santander,,
9,abrego,2014,5,4,abrego,8.0806,-73.2205,norte de santander,,
8,abrego,2014,19,12,abrego,8.0806,-73.2205,norte de santander,,
4,abrego,2014,4,4,abrego,8.0806,-73.2205,norte de santander,,
7,abrego,2014,22,12,abrego,8.0806,-73.2205,norte de santander,,
12,abrego,2014,6,5,abrego,8.0806,-73.2205,norte de santander,,
2,abrego,2014,1,1,abrego,8.0806,-73.2205,norte de santander,,
11,abrego,2014,14,7,abrego,8.0806,-73.2205,norte de santander,,
1,abrego,2014,3,3,abrego,8.0806,-73.2205,norte de santander,,
3,abrego,2014,2,1,abrego,8.0806,-73.2205,norte de santander,,
10,abrego,2014,9,7,abrego,8.0806,-73.2205,norte de santander,,
6,abrego,2014,9,7,abrego,8.0806,-73.2205,norte de santander,,
,abrego,2014,1,0,abrego,8.0806,-73.2205,norte de santander,,
