month,year,admin_ascii,total_cases,confirmed_cases
1,2007,amazonas,2,2
1,2007,antioquia,22,13
1,2007,arauca,31,9
1,2007,atlantico,226,203
1,2007,bogota,,
1,2007,bolivar,64,49
1,2007,boyaca,13,7
1,2007,caldas,48,27
1,2007,caqueta,30,21
1,2007,casanare,82,33
1,2007,cauca,30,12
1,2007,cesar,109,76
1,2007,choco,3,2
1,2007,cordoba,28,22
1,2007,cundinamarca,47,41
1,2007,exterior,4,3
1,2007,guainia,1,1
1,2007,guajira,28,16
1,2007,guaviare,24,24
1,2007,huila,314,60
1,2007,magdalena,44,38
1,2007,meta,123,64
1,2007,nari�o,4,2
1,2007,norte santander,501,146
1,2007,procedencia desconocida,14,8
1,2007,putumayo,23,10
1,2007,quindio,173,46
1,2007,risaralda,65,38
1,2007,san andres,6,6
1,2007,santander,483,177
1,2007,sucre,94,34
1,2007,tolima,169,52
1,2007,valle,55,27
1,2007,vaupes,,
1,2007,vichada,7,7
1,2008,amazonas,,
1,2008,antioquia,308,110
1,2008,arauca,98,16
1,2008,atlantico,545,470
1,2008,bogota,,
1,2008,bolivar,140,96
1,2008,boyaca,19,14
1,2008,caldas,9,6
1,2008,caqueta,39,10
1,2008,casanare,194,52
1,2008,cauca,30,12
1,2008,cesar,114,34
1,2008,choco,5,2
1,2008,cordoba,92,59
1,2008,cundinamarca,117,72
1,2008,exterior,4,1
1,2008,guainia,54,11
1,2008,guajira,75,33
1,2008,guaviare,23,22
1,2008,huila,296,91
1,2008,magdalena,68,43
1,2008,meta,167,62
1,2008,nari�o,6,2
1,2008,norte santander,431,110
1,2008,procedencia desconocida,15,10
1,2008,putumayo,55,8
1,2008,quindio,110,25
1,2008,risaralda,64,23
1,2008,san andres,2,0
1,2008,santander,522,128
1,2008,sucre,98,23
1,2008,tolima,223,86
1,2008,valle,236,97
1,2008,vaupes,,
1,2008,vichada,13,4
1,2009,amazonas,1,1
1,2009,antioquia,82,65
1,2009,arauca,65,30
