Variable:,pr
Country:,Colombia
Subnational-unit:,Amazonas
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1902,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1903,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1904,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1905,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1906,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1907,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1908,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1909,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1910,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1911,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1912,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1913,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1914,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1915,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1916,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1917,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1918,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1919,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1920,232.02,215.38,286.78,323.91,311.61,273.50,246.93,218.34,204.54,243.73,218.11,224.09
1921,231.67,213.52,290.68,319.64,311.83,271.65,242.38,223.65,204.90,243.33,220.21,225.12
1922,229.59,216.77,292.47,324.36,313.16,275.39,235.97,219.25,196.15,232.19,208.10,215.38
1923,225.93,206.24,275.37,310.05,300.33,267.01,258.95,211.77,204.88,249.51,214.45,229.25
