Variable:,pr
Country:,Colombia
Subnational-unit:,Antioquia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,182.03,82.07,198.97,207.34,240.36,193.79,164.52,225.98,256.31,291.51,268.39,125.66
1902,93.72,83.99,93.28,219.62,271.64,331.67,165.51,419.73,237.94,271.11,307.96,200.96
1903,111.70,105.15,200.89,282.90,320.60,191.50,225.67,239.49,227.52,365.65,199.18,125.18
1904,129.69,65.60,107.14,228.61,295.33,234.97,198.06,201.69,343.03,336.91,354.42,239.22
1905,82.09,106.64,115.48,286.11,309.55,289.49,255.98,248.58,182.45,346.07,260.56,147.39
1906,92.64,138.18,239.50,298.73,287.09,255.89,309.97,257.92,300.99,314.11,252.64,164.99
1907,142.93,94.21,167.19,208.98,219.25,209.10,235.76,300.88,311.23,483.29,267.73,214.81
1908,103.94,140.00,74.44,229.99,346.36,271.70,356.31,308.49,250.61,319.93,250.36,151.34
1909,203.47,92.81,249.18,200.43,472.61,295.10,222.36,241.45,311.23,422.47,241.67,217.51
1910,112.02,150.21,143.33,286.62,306.73,238.17,226.96,210.26,172.64,252.68,249.85,134.42
1911,117.18,97.59,111.71,221.85,241.39,198.93,254.02,444.25,271.99,308.38,348.36,185.20
1912,82.52,79.58,132.98,342.86,299.28,232.03,182.82,210.08,502.80,336.75,296.63,180.18
1913,92.74,76.86,86.45,280.31,203.24,191.35,172.50,263.05,187.59,346.23,369.69,198.15
1914,105.89,118.17,91.11,248.32,343.63,264.89,262.40,445.24,250.22,358.89,266.21,157.49
1915,110.30,78.50,171.57,262.73,218.68,336.49,248.29,285.59,254.66,351.76,243.71,164.70
1916,170.32,99.45,166.53,303.59,412.53,267.11,237.82,399.94,246.91,282.36,313.16,180.29
1917,126.37,98.64,142.77,336.74,300.46,195.27,193.11,210.45,226.62,377.62,340.90,116.46
1918,121.83,76.78,104.04,235.35,268.69,242.85,288.02,304.54,352.29,272.36,280.74,207.00
1919,91.67,104.43,115.31,181.05,422.05,221.99,360.47,268.94,297.39,445.26,203.23,178.44
1920,160.04,130.80,265.26,250.61,421.89,298.03,310.05,235.64,362.95,401.59,224.00,219.84
1921,64.36,130.49,206.48,205.02,311.58,403.14,221.83,186.44,225.47,303.93,277.17,188.97
1922,68.79,62.99,109.14,193.89,290.46,203.62,270.58,299.08,196.40,296.42,222.12,208.42
1923,61.69,57.09,111.90,170.34,275.84,274.86,258.20,217.43,276.55,359.67,397.57,206.67
1924,102.40,116.02,195.69,342.30,262.03,224.04,241.37,301.10,314.56,265.68,254.80,128.28
1925,66.57,79.19,106.68,171.99,264.90,309.45,220.31,295.05,241.34,393.29,286.75,235.47
1926,113.40,106.58,138.81,224.79,340.29,248.97,279.39,292.40,325.87,343.63,273.13,144.60
1927,104.06,97.39,145.19,204.20,306.78,243.97,275.68,260.76,245.59,264.16,366.37,223.35
1928,64.64,56.73,140.43,255.86,338.28,269.83,233.77,220.93,260.90,301.29,211.42,111.84
1929,134.56,114.27,142.64,226.28,235.87,284.21,284.99,267.21,230.80,353.06,234.19,144.91
1930,92.97,103.74,105.97,205.65,302.49,275.95,326.64,229.96,295.11,307.88,326.07,190.04
1931,166.76,91.37,96.30,193.82,312.65,235.62,252.69,227.47,317.53,384.54,342.58,183.03
1932,106.55,66.00,146.14,283.18,322.54,282.01,210.74,284.18,266.05,338.03,372.12,238.15
1933,113.82,113.95,147.92,164.82,335.97,244.92,266.09,236.78,245.10,361.99,317.66,154.89
1934,156.41,131.36,175.47,239.29,282.59,283.45,295.99,337.16,281.36,329.32,447.01,117.94
1935,110.18,79.55,140.93,180.56,323.88,276.89,244.51,299.93,233.19,354.14,241.19,230.68
1936,164.63,103.53,154.48,174.60,300.68,219.59,269.99,241.62,330.57,331.24,305.50,183.32
1937,164.49,84.57,195.65,314.03,355.57,218.61,280.05,293.32,219.85,426.80,325.54,212.17
1938,85.52,61.80,136.31,178.86,273.37,243.53,252.30,253.08,220.32,370.73,247.99,167.27
1939,118.65,87.74,88.19,185.06,276.92,217.26,205.61,235.75,225.87,357.93,369.98,180.11
1940,125.02,79.27,29.77,69.36,69.90,152.55,152.70,206.19,220.91,156.85,232.74,110.80
1941,59.95,57.85,107.14,190.73,324.96,180.57,154.41,113.20,212.74,278.85,203.38,150.74
1942,223.07,110.84,90.99,200.02,184.32,287.30,167.71,372.50,128.70,309.40,402.34,120.31
1943,49.78,67.86,103.27,101.63,262.28,221.03,81.01,171.87,100.08,303.34,117.95,114.17
1944,28.62,39.32,41.24,171.94,402.11,74.88,189.31,269.90,171.44,255.77,425.82,314.28
1945,209.71,84.71,116.70,200.43,237.97,80.22,138.86,138.88,156.20,377.79,250.11,131.23
1946,130.28,64.47,76.38,116.67,306.97,253.96,377.66,240.09,369.99,411.83,165.34,119.23
1947,29.48,61.46,76.50,333.94,329.69,176.40,174.95,217.44,270.37,271.17,195.11,136.97
1948,80.28,68.50,102.75,127.96,245.58,306.72,263.24,336.84,233.40,382.72,183.20,101.96
1949,195.45,164.59,185.48,202.72,351.46,458.60,198.18,406.47,245.76,360.01,237.28,228.38
1950,134.96,168.24,121.14,234.74,257.09,209.54,216.70,246.26,178.66,291.47,229.67,172.50
