,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,NOMBRE_DPT
0,1901,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
1,1902,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
2,1903,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
3,1904,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
4,1905,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
5,1906,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
6,1907,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
7,1908,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
8,1909,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
9,1910,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
10,1911,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
11,1912,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
12,1913,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
13,1914,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
14,1915,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
15,1916,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
16,1917,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
17,1918,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
18,1919,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
19,1920,232.02,215.38,286.78,323.91,311.61,273.5,246.93,218.34,204.54,243.73,218.11,224.09,AMAZONAS
20,1921,231.67,213.52,290.68,319.64,311.83,271.65,242.38,223.65,204.9,243.33,220.21,225.12,AMAZONAS
21,1922,229.59,216.77,292.47,324.36,313.16,275.39,235.97,219.25,196.15,232.19,208.1,215.38,AMAZONAS
22,1923,225.93,206.24,275.37,310.05,300.33,267.01,258.95,211.77,204.88,249.51,214.45,229.25,AMAZONAS
23,1924,241.67,230.03,301.6,316.97,299.93,266.94,264.83,225.26,200.88,226.23,225.24,223.02,AMAZONAS
24,1925,221.85,202.89,286.14,294.08,323.53,276.17,239.27,229.15,192.71,248.85,219.65,228.01,AMAZONAS
25,1926,235.32,225.53,282.56,330.86,313.51,271.13,282.56,211.82,205.63,233.46,215.19,207.77,AMAZONAS
26,1927,243.15,249.16,304.39,368.17,344.39,288.37,282.66,224.31,215.87,248.7,230.29,226.69,AMAZONAS
27,1928,230.22,197.13,281.24,321.88,343.96,259.39,265.48,215.32,198.93,239.87,216.54,227.66,AMAZONAS
28,1929,250.38,206.96,285.34,325.81,299.43,277.82,218.24,197.15,186.26,233.66,209.94,215.06,AMAZONAS
29,1930,232.64,207.93,264.62,317.72,284.89,259.79,243.94,210.2,186.64,233.2,209.23,228.58,AMAZONAS
30,1931,264.4,245.65,285.6,331.28,296.19,282.14,232.29,237.11,212.76,243.84,205.67,214.65,AMAZONAS
31,1932,205.02,198.38,352.74,318.72,292.57,245.9,218.81,201.11,191.09,218.32,214.12,219.05,AMAZONAS
32,1933,219.29,186.79,258.84,307.95,334.55,308.93,247.03,226.2,203.6,242.26,235.09,211.9,AMAZONAS
33,1934,216.72,174.86,288.5,298.98,327.87,266.4,247.78,207.92,203.28,223.07,213.18,199.86,AMAZONAS
34,1935,238.71,197.01,299.87,312.35,297.65,238.42,208.73,172.36,206.94,251.91,217.82,209.03,AMAZONAS
35,1936,268.73,187.29,295.9,340.2,310.09,263.98,223.79,228.85,211.29,193.22,186.24,221.41,AMAZONAS
